filename,baseline_sec,single_speedups,runtime_synergy_pairs,status,output_csv
yarpgen_seed_9_-O2.ll,2.956754707,2,0,ok,results/runtime_synergy_full_all/yarpgen_seed_9_-O2.ll.runtime_synergy.csv
yarpgen_seed_17_-O2.ll,0.002100768,46,1631,ok,results/runtime_synergy_full_all/yarpgen_seed_17_-O2.ll.runtime_synergy.csv
yarpgen_seed_7_-O2.ll,0.003172095,201,25822,ok,results/runtime_synergy_full_all/yarpgen_seed_7_-O2.ll.runtime_synergy.csv
yarpgen_seed_12_-O2.ll,0.003261067,206,26676,ok,results/runtime_synergy_full_all/yarpgen_seed_12_-O2.ll.runtime_synergy.csv
yarpgen_seed_10_-O2.ll,0.003537597,208,21918,ok,results/runtime_synergy_full_all/yarpgen_seed_10_-O2.ll.runtime_synergy.csv
yarpgen_seed_16_-O2.ll,0.003386550,208,20878,ok,results/runtime_synergy_full_all/yarpgen_seed_16_-O2.ll.runtime_synergy.csv
yarpgen_seed_2_-O2.ll,0.003472484,208,39259,ok,results/runtime_synergy_full_all/yarpgen_seed_2_-O2.ll.runtime_synergy.csv
yarpgen_seed_6_-O2.ll,0.003395376,208,17941,ok,results/runtime_synergy_full_all/yarpgen_seed_6_-O2.ll.runtime_synergy.csv
yarpgen_seed_4_-O2.ll,0.003457683,208,21979,ok,results/runtime_synergy_full_all/yarpgen_seed_4_-O2.ll.runtime_synergy.csv
yarpgen_seed_28_-O2.ll,0.001870354,1,0,ok,results/runtime_synergy_full_all/yarpgen_seed_28_-O2.ll.runtime_synergy.csv
yarpgen_seed_3_-O2.ll,0.003314733,208,23984,ok,results/runtime_synergy_full_all/yarpgen_seed_3_-O2.ll.runtime_synergy.csv
yarpgen_seed_8_-O2.ll,0.003584798,208,24714,ok,results/runtime_synergy_full_all/yarpgen_seed_8_-O2.ll.runtime_synergy.csv
yarpgen_seed_18_-O2.ll,0.002257096,137,20926,ok,results/runtime_synergy_full_all/yarpgen_seed_18_-O2.ll.runtime_synergy.csv
yarpgen_seed_14_-O2.ll,0.082805981,180,4329,ok,results/runtime_synergy_full_all/yarpgen_seed_14_-O2.ll.runtime_synergy.csv
yarpgen_seed_13_-O2.ll,0.007214483,207,34570,ok,results/runtime_synergy_full_all/yarpgen_seed_13_-O2.ll.runtime_synergy.csv
yarpgen_seed_25_-O2.ll,0.001850824,34,526,ok,results/runtime_synergy_full_all/yarpgen_seed_25_-O2.ll.runtime_synergy.csv
yarpgen_seed_11_-O2.ll,24.288955197,1,22,ok,results/runtime_synergy_full_all/yarpgen_seed_11_-O2.ll.runtime_synergy.csv
yarpgen_seed_19_-O2.ll,0.001949084,44,2339,ok,results/runtime_synergy_full_all/yarpgen_seed_19_-O2.ll.runtime_synergy.csv
yarpgen_seed_38_-O2.ll,0.002016291,0,0,ok,results/runtime_synergy_full_all/yarpgen_seed_38_-O2.ll.runtime_synergy.csv
yarpgen_seed_37_-O2.ll,0.002885505,27,5492,ok,results/runtime_synergy_full_all/yarpgen_seed_37_-O2.ll.runtime_synergy.csv
yarpgen_seed_15_-O2.ll,7.908320339,6,86,ok,results/runtime_synergy_full_all/yarpgen_seed_15_-O2.ll.runtime_synergy.csv
yarpgen_seed_33_-O2.ll,0.001844039,59,369,ok,results/runtime_synergy_full_all/yarpgen_seed_33_-O2.ll.runtime_synergy.csv
yarpgen_seed_23_-O2.ll,0.001902045,96,2195,ok,results/runtime_synergy_full_all/yarpgen_seed_23_-O2.ll.runtime_synergy.csv
yarpgen_seed_43_-O2.ll,0.339858326,6,5,ok,results/runtime_synergy_full_all/yarpgen_seed_43_-O2.ll.runtime_synergy.csv
yarpgen_seed_42_-O2.ll,0.001891202,42,3241,ok,results/runtime_synergy_full_all/yarpgen_seed_42_-O2.ll.runtime_synergy.csv
yarpgen_seed_22_-O2.ll,0.002660678,123,6781,ok,results/runtime_synergy_full_all/yarpgen_seed_22_-O2.ll.runtime_synergy.csv
yarpgen_seed_20_-O2.ll,0.002016179,136,12791,ok,results/runtime_synergy_full_all/yarpgen_seed_20_-O2.ll.runtime_synergy.csv
yarpgen_seed_31_-O2.ll,0.002223119,150,15319,ok,results/runtime_synergy_full_all/yarpgen_seed_31_-O2.ll.runtime_synergy.csv
yarpgen_seed_30_-O2.ll,0.002020738,175,22034,ok,results/runtime_synergy_full_all/yarpgen_seed_30_-O2.ll.runtime_synergy.csv
yarpgen_seed_47_-O2.ll,0.003251315,48,522,ok,results/runtime_synergy_full_all/yarpgen_seed_47_-O2.ll.runtime_synergy.csv
yarpgen_seed_27_-O2.ll,0.002077007,188,25124,ok,results/runtime_synergy_full_all/yarpgen_seed_27_-O2.ll.runtime_synergy.csv
yarpgen_seed_34_-O2.ll,0.034819731,147,7147,ok,results/runtime_synergy_full_all/yarpgen_seed_34_-O2.ll.runtime_synergy.csv
yarpgen_seed_39_-O2.ll,0.002208709,155,27367,ok,results/runtime_synergy_full_all/yarpgen_seed_39_-O2.ll.runtime_synergy.csv
yarpgen_seed_46_-O2.ll,0.007027208,58,1803,ok,results/runtime_synergy_full_all/yarpgen_seed_46_-O2.ll.runtime_synergy.csv
yarpgen_seed_54_-O2.ll,0.001529093,2,0,ok,results/runtime_synergy_full_all/yarpgen_seed_54_-O2.ll.runtime_synergy.csv
yarpgen_seed_29_-O2.ll,0.002101309,206,25145,ok,results/runtime_synergy_full_all/yarpgen_seed_29_-O2.ll.runtime_synergy.csv
yarpgen_seed_36_-O2.ll,0.001928547,183,21592,ok,results/runtime_synergy_full_all/yarpgen_seed_36_-O2.ll.runtime_synergy.csv
yarpgen_seed_56_-O2.ll,0.001625950,2,98,ok,results/runtime_synergy_full_all/yarpgen_seed_56_-O2.ll.runtime_synergy.csv
yarpgen_seed_44_-O2.ll,0.001921568,116,21034,ok,results/runtime_synergy_full_all/yarpgen_seed_44_-O2.ll.runtime_synergy.csv
yarpgen_seed_59_-O2.ll,0.001480813,10,1,ok,results/runtime_synergy_full_all/yarpgen_seed_59_-O2.ll.runtime_synergy.csv
yarpgen_seed_55_-O2.ll,0.001681565,53,7392,ok,results/runtime_synergy_full_all/yarpgen_seed_55_-O2.ll.runtime_synergy.csv
yarpgen_seed_49_-O2.ll,0.002020329,79,7079,ok,results/runtime_synergy_full_all/yarpgen_seed_49_-O2.ll.runtime_synergy.csv
yarpgen_seed_61_-O2.ll,0.001478926,8,22,ok,results/runtime_synergy_full_all/yarpgen_seed_61_-O2.ll.runtime_synergy.csv
yarpgen_seed_58_-O2.ll,0.006651009,55,3421,ok,results/runtime_synergy_full_all/yarpgen_seed_58_-O2.ll.runtime_synergy.csv
yarpgen_seed_63_-O2.ll,0.001514116,24,130,ok,results/runtime_synergy_full_all/yarpgen_seed_63_-O2.ll.runtime_synergy.csv
yarpgen_seed_51_-O2.ll,0.001626371,117,11931,ok,results/runtime_synergy_full_all/yarpgen_seed_51_-O2.ll.runtime_synergy.csv
yarpgen_seed_60_-O2.ll,1.001358210,13,8,ok,results/runtime_synergy_full_all/yarpgen_seed_60_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,35,501,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll.runtime_synergy.csv
yarpgen_seed_53_-O2.ll,0.001662130,133,18655,ok,results/runtime_synergy_full_all/yarpgen_seed_53_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll,0.001671681,28,265,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_copy_if.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_copy.pass_-O2.ll,0.001507822,60,598,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_copy.pass_-O2.ll.runtime_synergy.csv
yarpgen_seed_48_-O2.ll,0.001800804,198,32654,ok,results/runtime_synergy_full_all/yarpgen_seed_48_-O2.ll.runtime_synergy.csv
yarpgen_seed_64_-O2.ll,0.001529654,94,2837,ok,results/runtime_synergy_full_all/yarpgen_seed_64_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,17,35,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll.runtime_synergy.csv
yarpgen_seed_62_-O2.ll,0.141033278,65,334,ok,results/runtime_synergy_full_all/yarpgen_seed_62_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,93,2489,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_ostreambuf.copy.pass_-O2.ll,0.001558698,91,721,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_ostreambuf.copy.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_n.pass_-O2.ll,0.001524725,2,7,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_n.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,115,1612,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,91,1017,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,58,102,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy.pass_-O2.ll,0.002214348,57,78,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,51,2301,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,25,29,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,29,196,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,193,13707,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill.pass_-O2.ll,0.001961175,175,8908,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,31,692,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,113,2993,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,133,6564,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,33,1101,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.pass_-O2.ll,0.001925453,193,1976,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.move_move_backward.pass_-O2.ll,0.001944621,49,3503,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.move_move_backward.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,13,247,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,176,10051,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_point.pass_-O2.ll,0.001440611,1,0,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_point.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,70,8693,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.fill_fill.pass_-O2.ll,0.002322423,185,20770,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.fill_fill.pass_-O2.ll.runtime_synergy.csv
yarpgen_seed_40_-O2.ll,5.214170329,27,379,ok,results/runtime_synergy_full_all/yarpgen_seed_40_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.move_contiguous_trivial_optimization.pass_-O2.ll,0.002164987,199,21300,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.move_contiguous_trivial_optimization.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_copy.pass_-O2.ll,0.001931409,39,1042,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_copy.pass_-O2.ll.runtime_synergy.csv
yarpgen_seed_50_-O2.ll,0.913971392,144,6431,ok,results/runtime_synergy_full_all/yarpgen_seed_50_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.stable.pass_-O2.ll,0.004452550,2,0,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.stable.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,25,354,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,176,695,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,27,233,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,182,7842,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,132,3959,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll.runtime_synergy.csv
yarpgen_seed_45_-O2.ll,0.866276170,193,11992,ok,results/runtime_synergy_full_all/yarpgen_seed_45_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,188,1486,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,67,613,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,34,1135,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,133,9524,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,41,389,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_rand.pass_-O2.ll,0.002060520,132,8741,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_rand.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_stable_partition.pass_-O2.ll,0.002435769,176,22018,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_stable_partition.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy.pass_-O2.ll,0.001982351,69,1788,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,138,5592,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove_if.pass_-O2.ll,0.002076495,119,6832,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove_if.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.replace_pstl.replace.pass_-O2.ll,0.001947467,72,4291,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.replace_pstl.replace.pass_-O2.ll.runtime_synergy.csv
