pass,category,raw_pass
always-inline,module,always-inline
annotation2metadata,module,annotation2metadata
assign-guid,module,assign-guid
attributor-light,module,attributor-light
called-value-propagation,module,called-value-propagation
canonicalize-aliases,module,canonicalize-aliases
constmerge,module,constmerge
coro-cleanup,module,coro-cleanup
coro-early,module,coro-early
cross-dso-cfi,module,cross-dso-cfi
ctx-prof-flatten,module,ctx-prof-flatten
noinline-nonprevailing,module,noinline-nonprevailing
deadargelim,module,deadargelim
declare-runtime-libcalls,module,declare-runtime-libcalls
dxil-upgrade,module,dxil-upgrade
elim-avail-extern,module,elim-avail-extern
extract-blocks,module,extract-blocks
expand-variadics,module,expand-variadics
forceattrs,module,forceattrs
global-merge-func,module,global-merge-func
globalopt,module,globalopt
globalsplit,module,globalsplit
hipstdpar-interpose-alloc,module,hipstdpar-interpose-alloc
hipstdpar-math-fixup,module,hipstdpar-math-fixup
hipstdpar-select-accelerator-code,module,hipstdpar-select-accelerator-code
hotcoldsplit,module,hotcoldsplit
inferattrs,module,inferattrs
inliner-wrapper,module,inliner-wrapper
inliner-wrapper-no-mandatory-first,module,inliner-wrapper-no-mandatory-first
jmc-instrumenter,module,jmc-instrumenter
lower-emutls,module,lower-emutls
lower-global-dtors,module,lower-global-dtors
lower-ifunc,module,lower-ifunc
simplify-type-tests,module,simplify-type-tests
lowertypetests,module,lowertypetests
fatlto-cleanup,module,fatlto-cleanup
mergefunc,module,mergefunc
metarenamer,module,metarenamer
module-inline,module,module-inline
name-anon-globals,module,name-anon-globals
openmp-opt,module,openmp-opt
openmp-opt-postlink,module,openmp-opt-postlink
partial-inliner,module,partial-inliner
pre-isel-intrinsic-lowering,module,pre-isel-intrinsic-lowering
recompute-globalsaa,module,recompute-globalsaa
rel-lookup-table-converter,module,rel-lookup-table-converter
rewrite-statepoints-for-gc,module,rewrite-statepoints-for-gc
rewrite-symbols,module,rewrite-symbols
rpo-function-attrs,module,rpo-function-attrs
scc-oz-module-inliner,module,scc-oz-module-inliner
shadow-stack-gc-lowering,module,shadow-stack-gc-lowering
strip,module,strip
strip-dead-debug-info,module,strip-dead-debug-info
strip-dead-prototypes,module,strip-dead-prototypes
strip-debug-declare,module,strip-debug-declare
strip-nondebug,module,strip-nondebug
strip-nonlinetable-debuginfo,module,strip-nonlinetable-debuginfo
strip-dead-cg-profile,module,strip-dead-cg-profile
wholeprogramdevirt,module,wholeprogramdevirt
cg-profile,module,cg-profile
global-merge,module,global-merge
embed-bitcode,module,embed-bitcode
globaldce,module,globaldce
internalize,module,internalize
ipsccp,module,ipsccp
loop-extract,module,loop-extract
cgscc(argpromotion),cgscc,argpromotion
cgscc(attributor-light-cgscc),cgscc,attributor-light-cgscc
cgscc(openmp-opt-cgscc),cgscc,openmp-opt-cgscc
cgscc(coro-annotation-elide),cgscc,coro-annotation-elide
cgscc(coro-split),cgscc,coro-split
cgscc(function-attrs),cgscc,function-attrs
cgscc(inline),cgscc,inline
function(adce),function,adce
function(add-discriminators),function,add-discriminators
function(aggressive-instcombine),function,aggressive-instcombine
function(alignment-from-assumptions),function,alignment-from-assumptions
function(annotation-remarks),function,annotation-remarks
function(assume-builder),function,assume-builder
function(assume-simplify),function,assume-simplify
function(atomic-expand),function,atomic-expand
function(bdce),function,bdce
function(break-crit-edges),function,break-crit-edges
function(callbr-prepare),function,callbr-prepare
function(callsite-splitting),function,callsite-splitting
function(chr),function,chr
function(complex-deinterleaving),function,complex-deinterleaving
function(consthoist),function,consthoist
function(constraint-elimination),function,constraint-elimination
function(coro-elide),function,coro-elide
function(correlated-propagation),function,correlated-propagation
function(dce),function,dce
function(declare-to-assign),function,declare-to-assign
function(dfa-jump-threading),function,dfa-jump-threading
function(div-rem-pairs),function,div-rem-pairs
function(dse),function,dse
function(dwarf-eh-prepare),function,dwarf-eh-prepare
function(expand-large-div-rem),function,expand-large-div-rem
function(expand-memcmp),function,expand-memcmp
function(expand-reductions),function,expand-reductions
function(extra-vector-passes),function,extra-vector-passes
function(fix-irreducible),function,fix-irreducible
function(flatten-cfg),function,flatten-cfg
function(float2int),function,float2int
function(gc-lowering),function,gc-lowering
function(guard-widening),function,guard-widening
function(gvn-hoist),function,gvn-hoist
function(gvn-sink),function,gvn-sink
function(indirectbr-expand),function,indirectbr-expand
function(infer-address-spaces),function,infer-address-spaces
function(infer-alignment),function,infer-alignment
function(inject-tli-mappings),function,inject-tli-mappings
function(instnamer),function,instnamer
function(instsimplify),function,instsimplify
function(interleaved-access),function,interleaved-access
function(interleaved-load-combine),function,interleaved-load-combine
function(irce),function,irce
function(jump-threading),function,jump-threading
function(jump-table-to-switch),function,jump-table-to-switch
function(kcfi),function,kcfi
function(kernel-info),function,kernel-info
function(lcssa),function,lcssa
function(libcalls-shrinkwrap),function,libcalls-shrinkwrap
function(load-store-vectorizer),function,load-store-vectorizer
function(loop-data-prefetch),function,loop-data-prefetch
function(loop-distribute),function,loop-distribute
function(loop-load-elim),function,loop-load-elim
function(loop-simplify),function,loop-simplify
function(loop-sink),function,loop-sink
function(loop-versioning),function,loop-versioning
function(lower-atomic),function,lower-atomic
function(lower-constant-intrinsics),function,lower-constant-intrinsics
function(lower-expect),function,lower-expect
function(lower-guard-intrinsic),function,lower-guard-intrinsic
function(lower-invoke),function,lower-invoke
function(lower-switch),function,lower-switch
function(lower-widenable-condition),function,lower-widenable-condition
function(make-guards-explicit),function,make-guards-explicit
function(mem2reg),function,mem2reg
function(memcpyopt),function,memcpyopt
function(mergeicmps),function,mergeicmps
function(mergereturn),function,mergereturn
function(move-auto-init),function,move-auto-init
function(nary-reassociate),function,nary-reassociate
function(newgvn),function,newgvn
function(objc-arc),function,objc-arc
function(objc-arc-contract),function,objc-arc-contract
function(objc-arc-expand),function,objc-arc-expand
function(partially-inline-libcalls),function,partially-inline-libcalls
function(place-safepoints),function,place-safepoints
function(prof-inject),function,prof-inject
function(reassociate),function,reassociate
function(redundant-dbg-inst-elim),function,redundant-dbg-inst-elim
function(replace-with-veclib),function,replace-with-veclib
function(reg2mem),function,reg2mem
function(safe-stack),function,safe-stack
function(sandbox-vectorizer),function,sandbox-vectorizer
function(scalarize-masked-mem-intrin),function,scalarize-masked-mem-intrin
function(sccp),function,sccp
function(separate-const-offset-from-gep),function,separate-const-offset-from-gep
function(sink),function,sink
function(sjlj-eh-prepare),function,sjlj-eh-prepare
function(slp-vectorizer),function,slp-vectorizer
function(slsr),function,slsr
function(stack-protector),function,stack-protector
function(strip-gc-relocates),function,strip-gc-relocates
function(tailcallelim),function,tailcallelim
function(transform-warning),function,transform-warning
function(typepromotion),function,typepromotion
function(unify-loop-exits),function,unify-loop-exits
function(unreachableblockelim),function,unreachableblockelim
function(vector-combine),function,vector-combine
function(wasm-eh-prepare),function,wasm-eh-prepare
function(cfguard),function,cfguard
function(early-cse),function,early-cse
function(ee-instrument),function,ee-instrument
function(gvn),function,gvn
function(hardware-loops),function,hardware-loops
function(instcombine),function,instcombine
function(loop-unroll),function,loop-unroll
function(loop-vectorize),function,loop-vectorize
function(lower-allow-check),function,lower-allow-check
function(lower-matrix-intrinsics),function,lower-matrix-intrinsics
function(mldst-motion),function,mldst-motion
function(scalarizer),function,scalarizer
function(simplifycfg),function,simplifycfg
function(speculative-execution),function,speculative-execution
function(sroa),function,sroa
function(structurizecfg),function,structurizecfg
function(win-eh-prepare),function,win-eh-prepare
function(bounds-checking),function,bounds-checking
function(expand-fp),function,expand-fp
function(loop(canon-freeze)),loop,canon-freeze
function(loop(evl-iv-simplify)),loop,evl-iv-simplify
function(loop(guard-widening)),loop,guard-widening
function(loop(extra-simple-loop-unswitch-passes)),loop,extra-simple-loop-unswitch-passes
function(loop(indvars)),loop,indvars
function(loop(loop-bound-split)),loop,loop-bound-split
function(loop(loop-deletion)),loop,loop-deletion
function(loop(loop-idiom)),loop,loop-idiom
function(loop(loop-idiom-vectorize)),loop,loop-idiom-vectorize
function(loop(loop-instsimplify)),loop,loop-instsimplify
function(loop(loop-predication)),loop,loop-predication
function(loop(loop-reduce)),loop,loop-reduce
function(loop(loop-term-fold)),loop,loop-term-fold
function(loop(loop-simplifycfg)),loop,loop-simplifycfg
function(loop(loop-unroll-full)),loop,loop-unroll-full
function(loop(loop-versioning-licm)),loop,loop-versioning-licm
function(loop(loop-rotate)),loop,loop-rotate
function(loop(simple-loop-unswitch)),loop,simple-loop-unswitch
